placename,statecode,lat,lon
Phoenix,AZ,33.4483771,-112.0740373
Tolleson,AZ,33.4500425,-112.259321
Phoenix,AZ,33.4483771,-112.0740373
Prescott,AZ,34.5400242,-112.4685025
Queen Creek,AZ,33.2486639,-111.6342993
Scottsdale,AZ,33.5092103,-111.8990327
Sierra Vista,AZ,31.5545394,-110.3036912
Phoenix,AZ,33.4483771,-112.0740373
Surprise,AZ,33.6305938,-112.333216
Tempe,AZ,33.414768,-111.9093095
Tempe,AZ,33.414768,-111.9093095
Tucson,AZ,32.2217429,-110.926479
Tucson,AZ,32.2217429,-110.926479
Tucson,AZ,32.2217429,-110.926479
Tucson,AZ,32.2217429,-110.926479
Tucson,AZ,32.2217429,-110.926479
Tucson,AZ,32.2217429,-110.926479
Tucson,AZ,32.2217429,-110.926479
Phoenix,AZ,33.4483771,-112.0740373
Yuma,AZ,32.7253249,-114.624397
Albany,CA,37.88687,-122.2977475
Alhambra,CA,34.095287,-118.1270146
Aliso Viejo,CA,33.565038,-117.727116
Anaheim,CA,33.8352932,-117.9145036
Anaheim,CA,33.8352932,-117.9145036
Antioch,CA,38.0049214,-121.805789
Apple Valley,CA,34.5008311,-117.1858759
Atwater,CA,37.3477174,-120.609084
Auburn,CA,38.8965654,-121.0768901
Azusa,CA,34.1336186,-117.9075627
Bakersfield,CA,35.3732921,-119.0187125
Bakersfield,CA,35.3732921,-119.0187125
Bakersfield,CA,35.3732921,-119.0187125
Bakersfield,CA,35.3732921,-119.0187125
San Diego,CA,32.7153292,-117.1572551
Baldwin Park,CA,34.0852868,-117.9608978
Citrus Heights,CA,38.7071247,-121.2810611
Brea,CA,33.9166805,-117.9000604
Garden Grove,CA,33.7739053,-117.9414477
Buena Park,CA,33.8675143,-117.9981181
Burbank,CA,37.3232752,-121.9316233
Camarillo,CA,34.2163937,-119.0376023
Capitola,CA,36.9752283,-121.953293
Carson,CA,33.8314058,-118.2820165
Carson,CA,33.8314058,-118.2820165
Cerritos,CA,33.8583484,-118.0647871
Cerritos,CA,33.8583484,-118.0647871
Chico,CA,39.7284945,-121.8374777
Chino,CA,34.0122346,-117.688944
Chino,CA,34.0122346,-117.688944
Chula Vista,CA,32.6400541,-117.0841955
Chula Vista,CA,32.6400541,-117.0841955
Chula Vista,CA,32.6400541,-117.0841955
Clovis,CA,36.8252277,-119.7029194
Clovis,CA,36.8252277,-119.7029194
Colma,CA,37.6768779,-122.459695
Los Angeles,CA,34.0522342,-118.2436849
Compton,CA,33.8958492,-118.2200712
Corona,CA,33.8752935,-117.5664384
Costa Mesa,CA,33.6411316,-117.9186689
Culver City,CA,34.0211224,-118.3964665
Culver City,CA,34.0211224,-118.3964665
Cupertino,CA,37.3229978,-122.0321823
Cypress,CA,33.8169599,-118.0372852
Daly City,CA,37.7057657,-122.4619166
Davis,CA,38.5449065,-121.7405167
Diamond Bar,CA,34.0286226,-117.8103367
Duarte,CA,34.1394513,-117.9772873
Dublin,CA,37.7021521,-121.9357918
Dublin,CA,37.7021521,-121.9357918
Eastvale,CA,33.9635796,-117.5641823
El Cajon,CA,32.7947731,-116.9625269
El Centro,CA,32.792,-115.5630514
El Dorado Hills,CA,38.6857367,-121.082167
Elk Grove,CA,38.4087993,-121.3716178
Encinitas,CA,33.0369867,-117.2919818
Escondido,CA,33.1192068,-117.086421
Escondido,CA,33.1192068,-117.086421
Eureka,CA,40.8020712,-124.1636729
Fairfield,CA,38.2493581,-122.0399663
Folsom,CA,38.6779591,-121.1760583
Fontana,CA,34.0922335,-117.435048
Fontana,CA,34.0922335,-117.435048
Foothill Ranch,CA,33.6864093,-117.6608836
Fremont,CA,35.1916356,-117.5767246
Fremont,CA,35.1916356,-117.5767246
Fresno,CA,36.7477272,-119.7723661
Fresno,CA,36.7477272,-119.7723661
Fresno,CA,36.7477272,-119.7723661
Fresno,CA,36.7477272,-119.7723661
Fullerton,CA,33.8702924,-117.925338
Fullerton,CA,33.8702924,-117.925338
Garden Grove,CA,33.7739053,-117.9414477
Gardena,CA,33.8883487,-118.3089624
Gilroy,CA,37.0057816,-121.5682751
Glendale,CA,40.8998507,-124.0170056
Granada Hills,CA,34.2647247,-118.5231415
Hanford,CA,36.3274502,-119.6456844
Hawthorne,CA,33.9164032,-118.3525748
Hayward,CA,37.6688205,-122.0807964
Hayward,CA,37.6688205,-122.0807964
Hemet,CA,33.7475203,-116.9719684
Hesperia,CA,34.4263886,-117.3008784
Huntington Beach,CA,33.660297,-117.9992265
Indio,CA,33.7205771,-116.2155619
Inglewood,CA,33.9616801,-118.3531311
Irvine,CA,33.6694649,-117.8231107
Irvine,CA,33.6694649,-117.8231107
Irvine,CA,33.6694649,-117.8231107
San Diego,CA,32.7153292,-117.1572551
Los Angeles,CA,34.0522342,-118.2436849
Los Angeles,CA,34.0522342,-118.2436849
La Habra,CA,33.9319578,-117.9461734
La Quinta,CA,33.6633573,-116.3100095
Lake Elsinore,CA,33.6680772,-117.3272615
Lakewood,CA,33.8536269,-118.1339563
Lancaster,CA,34.6980406,-118.1367393
Lathrop,CA,37.8227046,-121.27661
La Verne,CA,34.1008426,-117.7678355
San Diego,CA,32.7153292,-117.1572551
Lincoln,CA,38.891565,-121.2930079
Livermore,CA,37.6818745,-121.7680088
Lodi,CA,38.1301968,-121.2724473
Long Beach,CA,33.7669623,-118.1892348
Long Beach,CA,33.7669623,-118.1892348
Los Angeles,CA,34.0522342,-118.2436849
Los Angeles,CA,34.0522342,-118.2436849
Canoga Park,CA,34.2011156,-118.5981424
Los Banos,CA,37.0582786,-120.8499151
Manhattan Beach,CA,33.8847361,-118.4109089
Manteca,CA,37.7974273,-121.2160526
Marina,CA,36.6844029,-121.802173
Menifee,CA,33.728354,-117.1464209
Merced,CA,37.3021633,-120.4829677
San Diego,CA,32.7153292,-117.1572551
Mission Viejo,CA,33.6000233,-117.6719953
Mission Viejo,CA,33.6000233,-117.6719953
Modesto,CA,37.6390972,-120.9968782
Montclair,CA,34.0775104,-117.6897776
Moorpark,CA,34.285558,-118.8820414
Moreno Valley,CA,33.937517,-117.2305944
Morgan Hill,CA,37.1305012,-121.6543901
Mountain View,CA,34.5063847,-117.3586577
Murrieta,CA,33.5539143,-117.2139232
Murrieta,CA,33.5539143,-117.2139232
Napa,CA,38.2971367,-122.2855293
Napa,CA,38.2971367,-122.2855293
National City,CA,32.6781085,-117.0991967
Norco,CA,33.9311257,-117.548661
North Hollywood,CA,34.1722281,-118.3789684
Northridge,CA,34.228337,-118.5367525
Northridge,CA,34.228337,-118.5367525
Norwalk,CA,33.9022367,-118.081733
Norwalk,CA,33.9022367,-118.081733
Novato,CA,38.1074199,-122.5697032
Emeryville,CA,37.831316,-122.2852473
Oceanside,CA,33.1958696,-117.3794834
Ontario,CA,34.0633443,-117.6508876
Orange,CA,33.7877945,-117.8531119
San Bernardino,CA,34.1083449,-117.2897652
Oxnard West,CA,-9999,-9999
Pacoima,CA,34.2625025,-118.427027
Cathedral City,CA,33.7797426,-116.4652911
Palmdale,CA,34.5794343,-118.1164613
Palmdale,CA,34.5794343,-118.1164613
Pasadena,CA,34.1477849,-118.1445155
Pasadena,CA,34.1477849,-118.1445155
Paso Robles,CA,35.6266369,-120.6910043
Pico Rivera,CA,33.9830688,-118.096735
Pinole,CA,38.0043667,-122.2988587
Pittsburg,CA,38.0279762,-121.8846806
Pleasant Hill,CA,37.9479786,-122.0607963
Porterville,CA,36.06523,-119.0167679
Poway,CA,32.9628233,-117.0358646
Rowland Heights,CA,33.9761238,-117.9053395
Temecula,CA,33.4936391,-117.1483648
Rancho Cordova,CA,38.5890723,-121.302728
Rancho Cucamonga,CA,34.1063989,-117.5931084
El Cajon,CA,32.7947731,-116.9625269
Rancho Santa Margarita,CA,33.640855,-117.603104
Redding,CA,40.5865396,-122.3916754
Redlands,CA,34.0555693,-117.1825381
Redondo Beach,CA,33.8491816,-118.3884078
Redwood City,CA,37.4852152,-122.2363548
Richmond,CA,37.9357576,-122.3477486
Riverbank,CA,37.7360396,-120.9354895
Riverside,CA,38.5190734,-121.5205112
Riverside,CA,38.5190734,-121.5205112
Riverside,CA,38.5190734,-121.5205112
Rohnert Park,CA,38.3396367,-122.7010984
Rosemead,CA,34.0805651,-118.072846
Roseville,CA,38.7521235,-121.2880059
Roseville,CA,38.7521235,-121.2880059
Sacramento,CA,38.5815719,-121.4943996
Sacramento,CA,38.5815719,-121.4943996
Sacramento,CA,38.5815719,-121.4943996
Sacramento,CA,38.5815719,-121.4943996
Sacramento,CA,38.5815719,-121.4943996
Sacramento,CA,38.5815719,-121.4943996
Salinas,CA,36.6777372,-121.6555013
San Bernardino,CA,34.1083449,-117.2897652
San Clemente,CA,33.4269728,-117.6119925
San Diego,CA,32.7153292,-117.1572551
San Dimas,CA,34.1066756,-117.8067257
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Jose,CA,37.3393857,-121.8949555
San Leandro,CA,37.7249296,-122.1560768
San Luis Obispo,CA,35.2827524,-120.6596156
San Mateo,CA,37.5629917,-122.3255254
San Pedro,CA,33.7358518,-118.2922934
San Francisco,CA,37.7749295,-122.4194155
Sand City,CA,36.6171819,-121.8482855
Santa Ana,CA,33.7455731,-117.8678338
Santa Ana,CA,33.7455731,-117.8678338
Santa Ana,CA,33.7455731,-117.8678338
Santa Clarita,CA,34.3916641,-118.542586
Santa Fe Springs,CA,33.9472359,-118.0853451
Santa Maria,CA,34.9530337,-120.4357191
Santee,CA,32.8383828,-116.9739167
Seal Beach,CA,33.7414065,-118.1047866
Signal Hill,CA,33.8044614,-118.1678456
Simi Valley,CA,34.2694474,-118.781482
Simi Valley,CA,34.2694474,-118.781482
South Gate,CA,33.954737,-118.2120161
San Diego,CA,32.7153292,-117.1572551
Stockton,CA,37.9577016,-121.2907796
Stockton,CA,37.9577016,-121.2907796
Sunnyvale,CA,37.3688301,-122.0363496
San Bruno,CA,37.6304904,-122.4110835
Thousand Oaks,CA,34.1705609,-118.8375937
Torrance,CA,33.8358492,-118.3406288
Tracy,CA,37.7396513,-121.4252227
Tulare,CA,36.2077288,-119.3473379
Turlock,CA,37.4946568,-120.8465941
Tustin,CA,33.7458511,-117.826166
Upland,CA,34.09751,-117.6483876
Vacaville,CA,38.3565773,-121.9877444
Valencia,CA,34.4436063,-118.6095321
Vallejo,CA,38.1040864,-122.2566367
Van Nuys,CA,34.1866718,-118.4489711
Van Nuys,CA,34.1866718,-118.4489711
Ventura,CA,34.2783352,-119.2931676
Ventura,CA,34.2783352,-119.2931676
Victorville,CA,34.5361067,-117.2911565
Visalia,CA,36.3302284,-119.2920585
Visalia,CA,36.3302284,-119.2920585
Vista,CA,33.2000368,-117.2425355
Vista,CA,33.2000368,-117.2425355
Walnut Creek,CA,37.9063131,-122.064963
Watsonville,CA,36.910231,-121.7568946
West Covina,CA,34.0686208,-117.9389526
West Covina,CA,34.0686208,-117.9389526
Fullerton,CA,33.8702924,-117.925338
West Hills,CA,-9999,-9999
West Hollywood,CA,34.0900091,-118.3617443
West Sacramento,CA,38.5804609,-121.530234
Westminster,CA,33.759183,-118.0067271
Westminster,CA,33.759183,-118.0067271
Whittier,CA,33.9791793,-118.032844
Woodland Hills,CA,34.1683386,-118.6059197
Woodland,CA,38.6785157,-121.7732971
Yuba City,CA,39.1404477,-121.6169108
Englewood,CO,39.6477653,-104.9877597
Arvada,CO,39.8027644,-105.0874842
Wheat Ridge,CO,39.766098,-105.0772063
Aurora,CO,39.7294319,-104.8319195
Aurora,CO,39.7294319,-104.8319195
Aurora,CO,39.7294319,-104.8319195
Aurora,CO,39.7294319,-104.8319195
Aurora,CO,39.7294319,-104.8319195
Boulder,CO,40.0149856,-105.2705456
Brighton,CO,39.9852617,-104.8205283
Castle Rock,CO,39.3722121,-104.8560902
Colorado Springs,CO,38.8338816,-104.8213634
Colorado Springs,CO,38.8338816,-104.8213634
Colorado Springs,CO,38.8338816,-104.8213634
Colorado Springs,CO,38.8338816,-104.8213634
Littleton,CO,39.613321,-105.0166498
Denver,CO,39.7391536,-104.9847034
Lakewood,CO,39.7047095,-105.0813734
Highlands Ranch,CO,39.5538771,-104.9694264
Edgewater,CO,39.7530425,-105.0641503
Fort Collins,CO,40.5852602,-105.084423
Fort Collins,CO,40.5852602,-105.084423
Glendale,CO,40.0819301,-105.366382
Glenwood Springs,CO,39.5505376,-107.3247762
Grand Junction,CO,39.0638705,-108.5506486
Greeley,CO,40.4233142,-104.7091322
Highlands Ranch,CO,39.5538771,-104.9694264
Lakewood,CO,39.7047095,-105.0813734
Lone Tree,CO,39.531381,-104.861962
Longmont,CO,40.1672069,-105.1019275
Loveland,CO,40.3977612,-105.0749801
Montrose,CO,38.4783198,-107.8761738
Parker,CO,39.5186002,-104.7613634
Pueblo,CO,38.2544472,-104.609141
Colorado Springs,CO,38.8338816,-104.8213634
Sheridan,CO,39.6469319,-105.025261
Silverthorne,CO,39.632139,-106.074281
Superior,CO,39.9527634,-105.1685977
Thornton,CO,39.8680412,-104.9719243
Westminster,CO,39.8366528,-105.0372046
Westminster,CO,39.8366528,-105.0372046
Ansonia,CT,41.3462078,-73.0789969
Bethel,CT,41.3712063,-73.4140097
Enfield,CT,41.9762077,-72.5917554
Dayville,CT,41.8464872,-71.8875721
Lisbon,CT,-9999,-9999
Meriden,CT,41.5381535,-72.8070435
Milford,CT,41.2223194,-73.0564953
New Britain,CT,41.6612104,-72.7795419
Newington,CT,41.6978777,-72.7237063
North Haven,CT,41.3909305,-72.859545
Orange,CT,41.2784304,-73.0256609
Manchester,CT,41.7759324,-72.5214755
Southington,CT,41.5964869,-72.8776013
Stamford,CT,41.0534302,-73.5387341
Torrington,CT,41.8006523,-73.1212214
Trumbull,CT,41.2428742,-73.2006687
Trumbull,CT,41.2428742,-73.2006687
Waterbury,CT,41.5581525,-73.0514966
Waterford,CT,41.3417,-72.13597
Windsor,CT,41.8525984,-72.6437022
Washington,DC,38.8951118,-77.0363658
Wilmington,DE,39.7459467,-75.5465889
Newark,DE,39.6837226,-75.7496572
Dover,DE,39.158168,-75.5243682
Altamonte Springs,FL,28.6611089,-81.3656243
Aventura,FL,25.9564812,-80.1392121
Miami,FL,25.7742658,-80.1936589
Palm Harbor,FL,28.0780718,-82.7637127
Boynton Beach,FL,26.5253491,-80.0664309
Boynton Beach,FL,26.5253491,-80.0664309
Bradenton,FL,27.4989278,-82.5748194
Brandon,FL,27.937801,-82.2859247
Riverview,FL,30.4060718,-81.6873203
Cape Coral,FL,26.5628537,-81.9495331
Cape Coral,FL,26.5628537,-81.9495331
Casselberry,FL,28.677775,-81.3278455
Clearwater,FL,27.9658533,-82.8001026
Clermont,FL,28.5494447,-81.7728543
Estero,FL,26.438136,-81.8067524
Coral Springs,FL,26.271192,-80.2706044
Coral Springs,FL,26.271192,-80.2706044
Miami,FL,25.7742658,-80.1936589
Miami,FL,25.7742658,-80.1936589
Davie,FL,26.0628665,-80.2331038
Daytona Beach,FL,29.2108147,-81.0228331
Deerfield Beach,FL,26.3184123,-80.0997657
Deerfield Beach,FL,26.3184123,-80.0997657
Delray Beach,FL,26.4614625,-80.0728201
Destin,FL,30.3935337,-86.4957834
Orlando,FL,28.5383355,-81.3792365
Orange Park,FL,30.1660736,-81.706484
Ft Myers,FL,-9999,-9999
Ft Myers,FL,-9999,-9999
Fort Lauderdale,FL,26.1223084,-80.1433786
Fort Myers,FL,26.640628,-81.8723084
Gainesville,FL,29.6516344,-82.3248262
Tampa,FL,27.9475216,-82.4584279
Greenacres,FL,-9999,-9999
Hialeah,FL,25.8575963,-80.2781057
Hollywood,FL,26.0112014,-80.1494901
Orlando,FL,28.5383355,-81.3792365
Jacksonville Beach,FL,30.2946859,-81.3931396
Jacksonville,FL,30.3321838,-81.655651
Jacksonville,FL,30.3321838,-81.655651
Jacksonville,FL,30.3321838,-81.655651
Jacksonville,FL,30.3321838,-81.655651
Miami,FL,25.7742658,-80.1936589
Kissimmee,FL,28.2919557,-81.407571
Kissimmee,FL,28.2919557,-81.407571
The Villages,FL,28.934084,-81.959943
Lake Mary,FL,28.7588833,-81.3178446
Lake Park,FL,26.8003398,-80.0664305
Lakeland,FL,28.0394654,-81.9498042
Lakeland,FL,28.0394654,-81.9498042
Largo,FL,27.9094665,-82.7873244
Lauderhill,FL,26.1403635,-80.2133808
Fort Myers,FL,26.640628,-81.8723084
Leesburg,FL,28.810823,-81.8778582
Mary Esther,FL,30.4099215,-86.6630098
Melbourne Village,FL,28.0852939,-80.6664436
Merritt Island,FL,28.5391651,-80.6719958
Miami,FL,25.7742658,-80.1936589
Miami Gardens,FL,25.9798139,-80.2025475
Miramar,FL,25.9873137,-80.2322706
Mount Dora,FL,28.8024918,-81.644519
Davenport,FL,28.1614046,-81.6017417
Naples,FL,26.1420358,-81.7948103
Naples,FL,26.1420358,-81.7948103
Wesley Chapel,FL,28.2397301,-82.3278658
Tampa,FL,27.9475216,-82.4584279
North Miami Beach,FL,25.9331488,-80.1625463
Sarasota,FL,27.3364347,-82.5306527
Ocala,FL,29.1871986,-82.1400923
Orange City,FL,28.9488761,-81.2986741
Orange Park,FL,30.1660736,-81.706484
Orlando,FL,28.5383355,-81.3792365
Winter Park,FL,28.5999998,-81.3392352
Orlando,FL,28.5383355,-81.3792365
Kissimmee,FL,28.2919557,-81.407571
Orlando,FL,28.5383355,-81.3792365
Jacksonville,FL,30.3321838,-81.655651
Oviedo,FL,28.669997,-81.2081203
Pace,FL,30.5993603,-87.1610808
Palm Coast,FL,29.5849736,-81.2078411
Panama City,FL,30.1588129,-85.6602058
Saint Petersburg,FL,27.7708606,-82.6792661
Pembroke Pines,FL,26.0031465,-80.223937
Pensacola,FL,30.421309,-87.2169149
Pensacola,FL,30.421309,-87.2169149
Pensacola,FL,30.421309,-87.2169149
Panama City Beach,FL,30.1765914,-85.8054879
Pinellas Park,FL,27.8428025,-82.6995444
Plantation,FL,26.1275862,-80.2331036
Port Charlotte,FL,26.9761707,-82.0906448
Port Orange,FL,29.1383165,-80.9956105
Port St Lucie,FL,-9999,-9999
Jacksonville,FL,30.3321838,-81.655651
West Palm Beach,FL,26.7153425,-80.0533746
Sanford,FL,28.8005484,-81.2731203
Sarasota,FL,27.3364347,-82.5306527
Sunrise,FL,26.1339746,-80.1130998
Trinity,FL,28.1808458,-82.6817662
Jacksonville,FL,30.3321838,-81.655651
Spring Hill,FL,28.476885,-82.525461
Spring Hill,FL,28.476885,-82.525461
Saint Augustine,FL,29.894691,-81.314517
Saint Petersburg,FL,27.7708606,-82.6792661
Stuart,FL,27.197548,-80.2528257
Odessa,FL,28.1939007,-82.5917642
Tallahassee,FL,30.4382559,-84.2807329
Tallahassee,FL,30.4382559,-84.2807329
Tampa,FL,27.9475216,-82.4584279
Lutz,FL,28.1511243,-82.4614831
Tampa,FL,27.9475216,-82.4584279
Titusville,FL,28.6122187,-80.8075538
Tampa,FL,27.9475216,-82.4584279
Sarasota,FL,27.3364347,-82.5306527
Tampa,FL,27.9475216,-82.4584279
Venice,FL,27.0997775,-82.4542633
Vero Beach,FL,27.6386434,-80.3972736
Viera,FL,28.2469551,-80.7369994
Orlando,FL,28.5383355,-81.3792365
Lake Worth,FL,26.6159015,-80.056986
Boca Raton,FL,26.3586885,-80.0830984
West Melbourne,FL,28.0716832,-80.6533878
West Palm Beach,FL,26.7153425,-80.0533746
Winter Garden,FL,28.5652787,-81.5861847
Yulee,FL,30.6319034,-81.6064866
Acworth,GA,34.0659329,-84.6768796
Albany,GA,31.5785074,-84.155741
Alpharetta,GA,34.0753762,-84.2940899
Athens,GA,33.960948,-83.3779358
Atlanta,GA,33.7489954,-84.3879824
Atlanta,GA,33.7489954,-84.3879824
Atlanta,GA,33.7489954,-84.3879824
Augusta,GA,33.4709702,-81.9748379
Austell,GA,33.8126059,-84.6343783
Brunswick,GA,31.1499528,-81.4914894
Atlanta,GA,33.7489954,-84.3879824
Atlanta,GA,33.7489954,-84.3879824
Buford,GA,34.1206564,-84.0043513
Canton,GA,34.2367621,-84.4907621
Carrollton,GA,33.5801103,-85.0766113
Cartersville,GA,34.1650972,-84.7999383
Marietta,GA,33.952602,-84.5499327
Kennesaw,GA,34.0234337,-84.6154897
Columbus,GA,32.4609764,-84.9877094
Conyers,GA,33.6676103,-84.0176904
Cumming,GA,34.2073196,-84.1401926
Douglasville,GA,31.3599,-84.6701951
East Point,GA,33.6795531,-84.4393724
Evans,GA,33.5337464,-82.1306747
Fayetteville,GA,33.4487257,-84.4549262
Flowery Branch,GA,34.1851017,-83.9251809
Gainesville,GA,34.2978794,-83.8240663
Duluth,GA,34.0028787,-84.1446376
Hiram,GA,33.8756601,-84.7621592
Suwanee,GA,34.0514898,-84.0712997
Lawrenceville,GA,33.9562149,-83.9879625
Lithonia,GA,33.7123305,-84.1051939
Macon,GA,32.8406946,-83.6324022
Marietta,GA,33.952602,-84.5499327
Mcdonough,GA,33.4473361,-84.1468616
Milton,GA,34.1321631,-84.300666
Morrow,GA,33.5831662,-84.3393683
Newnan,GA,33.3806716,-84.7996573
Norcross,GA,33.9412127,-84.2135309
Atlanta,GA,33.7489954,-84.3879824
Tucker,GA,33.8545479,-84.2171424
Peachtree City,GA,33.3967829,-84.5957629
Duluth,GA,34.0028787,-84.1446376
Alpharetta,GA,34.0753762,-84.2940899
Roswell,GA,34.0231553,-84.3615928
Sandy Springs,GA,33.9242688,-84.3785379
Savannah,GA,32.0835407,-81.0998342
Savannah,GA,32.0835407,-81.0998342
Smyrna,GA,33.5981814,-83.4048862
Snellville,GA,33.857328,-84.0199108
Valdosta,GA,30.8327022,-83.2784851
Warner Robins,GA,32.6209775,-83.5999048
Marietta,GA,33.952602,-84.5499327
Bethlehem,GA,34.9020296,-84.0774118
Woodstock,GA,34.1014873,-84.5193754
Hilo,HI,19.7297222,-155.09
Kailua-Kona,HI,-9999,-9999
Honolulu,HI,21.3069444,-157.8583333
Kapolei,HI,21.3347,-158.0808
Altoona,IA,41.6441557,-93.4646571
Ames,IA,42.0347081,-93.6199402
Ankeny,IA,41.7297102,-93.6057734
West Burlington,IA,40.8250386,-91.1565357
Cedar Falls,IA,42.5277622,-92.4454654
Cedar Rapids,IA,42.0083328,-91.6440683
Cedar Rapids,IA,42.0083328,-91.6440683
Clinton,IA,41.8444735,-90.1887379
Council Bluffs,IA,41.2619444,-95.8608333
Davenport,IA,41.5236437,-90.5776367
Des Moines,IA,41.6005448,-93.6091064
Dubuque,IA,42.5005583,-90.6645718
Fort Dodge,IA,42.4974694,-94.1680158
Coralville,IA,41.6764044,-91.5804475
Mason City,IA,43.1535728,-93.2010367
Ottumwa,IA,41.0200145,-92.4112963
Sioux City,IA,42.4999942,-96.4003069
Des Moines,IA,41.6005448,-93.6091064
Urbandale,IA,41.6266555,-93.7121656
Waterloo,IA,42.4927641,-92.3429631
West Des Moines,IA,41.5772115,-93.711332
West Des Moines,IA,41.5772115,-93.711332
Boise,ID,43.6135002,-116.2034505
Boise,ID,43.6135002,-116.2034505
Coeur d'Alene,ID,47.6776832,-116.7804664
Idaho Falls,ID,43.4665809,-112.0341374
Nampa,ID,43.5407172,-116.5634624
Twin Falls,ID,42.5629668,-114.4608711
Algonquin,IL,42.1655801,-88.2942493
Alton,IL,38.8906038,-90.1842764
Arlington Heights,IL,39.8197723,-89.6014875
Batavia,IL,41.8500284,-88.3125738
Bedford Park,IL,41.7628101,-87.8000551
Belleville,IL,38.5200504,-89.9839935
Normal,IL,40.5142026,-88.9906312
Bolingbrook,IL,41.6986416,-88.0683955
Bourbonnais,IL,41.1416991,-87.8750429
Broadview,IL,41.8639201,-87.8533931
Chicago,IL,41.850033,-87.6500523
Calumet City,IL,41.6155909,-87.5294871
Champaign,IL,40.1164205,-88.2433829
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Chicago,IL,41.850033,-87.6500523
Cicero,IL,41.8455878,-87.7539448
Crestwood,IL,41.6611444,-87.7525511
Crystal Lake,IL,42.2411344,-88.3161965
Dekalb,IL,41.9294736,-88.7503647
Decatur,IL,39.8403147,-88.9548001
Edwardsville,IL,38.8114364,-89.953157
Elgin,IL,42.0372487,-88.2811895
Evanston,IL,42.0411414,-87.6900587
Fairview Heights,IL,38.5889386,-89.990382
Galesburg,IL,40.9478158,-90.3712395
Glendale Heights,IL,41.9103068,-88.0717353
Glenview,IL,42.0697509,-87.7878408
Niles,IL,42.0189191,-87.8028402
